job_title,employer_name,job_city,job_is_remote,job_apply_link,job_description
Senior Odoo Developer,Araka Limited,Kigali,False,https://www.araka.io/jobs/senior-odoo-developer-5,
2 Junior Software Developers,Giz,Kigali,False,https://www.greatrwandajobs.com/jobs/job-detail/job-2-Junior-Software-Developers-job-at-Giz-38290,
Web Developer,NZIZA,Kigali,False,https://www.greatrwandajobs.com/jobs/job-detail/job-Web-Developer-job-at-NZIZA-35858,
Backend .NET Engineer - USSD & Telco Charging,B2Tech,Kigali,False,https://careers.b2tech.com/jobs/7025719-backend-net-engineer-ussd-telco-charging,
🌐 Junior Web Developer Interns,"Digital Realm Entertainment, Inc.",,True,https://www.f6s.com/jobs/59320/digital-realm-entertainment-inc/junior-web-developer-interns,
Senior Software Developer,IPA Rwanda,Kigali,False,https://www.greatrwandajobs.com/jobs/job-detail/job-Senior-Software-Developer-job-at-IPA-Rwanda-33857,
3 Developer,Ministry of Justice,Kigali,False,https://www.greatrwandajobs.com/jobs/job-detail/job-3-Developer-job-at-Ministry-of-Justice-29478,
Software Developer,Institute of Legal Practice and Development ( Ilpd),Kigali,False,https://www.greatrwandajobs.com/jobs/job-detail/job-Software-Developer-job-at-Institute-of-Legal-Practice-and-Development-Ilpd-38160,
Software Tools Engineer,Zipline,Kigali,False,https://builtin.com/job/software-tools-engineer/3806247,
Senior Business Intelligence Developer,Bboxx,Kigali,False,https://www.terra.do/climate-jobs/job-board/Senior-Business-Intelligence-Developer-Bboxx-8333035/,
